emp_no,salary,from_date,to_date
10393,40000,1989-06-23,1990-06-23
10394,40000,1991-03-14,1991-08-25
10401,40000,1999-10-25,2000-10-24
10401,39886,2000-10-24,2001-04-25
10402,40000,1987-01-02,1988-01-02
10405,40000,1998-09-26,1999-09-26
10406,40000,1996-01-26,1997-01-25
10406,39528,1997-01-25,1998-01-25
10421,40000,1990-04-07,1991-04-06
10425,40000,1995-05-07,1996-05-06
10428,40000,1992-06-04,1993-06-04
10429,40000,1988-09-23,1989-09-23
10430,40000,1998-07-05,1999-07-05
10430,39686,1999-07-05,2000-07-04
10432,40000,1990-08-13,1991-08-13
10433,40000,1992-11-26,1993-11-26
10434,40000,1995-06-27,1996-06-26
10436,40000,1988-01-30,1989-01-29
10438,40000,1990-01-19,1991-01-19
10441,40000,1988-07-12,1989-07-12
10447,40000,1988-12-29,1989-12-29
10450,40000,1997-08-24,1998-08-24
10452,40000,1995-11-12,1996-11-11
10453,40000,1985-04-02,1986-04-02
10459,40000,1997-06-28,1998-06-28
10460,40000,1999-06-30,2000-06-29
10462,40000,1996-03-25,1997-03-25
10462,39730,1997-03-25,1998-03-25
10464,40000,1991-05-21,1992-05-20
10464,39656,1992-05-20,1993-05-20
10468,40000,1991-05-28,1992-05-27
10478,40000,1992-06-09,1993-06-09
10479,40000,1993-07-24,1994-07-24
10481,40000,1989-10-03,1990-10-03
10484,40000,1996-12-20,1997-12-20
10488,40000,1994-07-09,1995-07-09
10498,40000,1994-03-09,1995-03-09
10499,40000,1996-07-31,1997-07-31
10502,40000,1993-03-04,1994-03-04
10503,40000,1997-03-13,1998-03-13
10506,40000,1996-12-01,1997-12-01
10507,40000,1990-09-30,1991-09-30
10511,40000,1992-01-27,1993-01-26
10512,40000,1989-11-28,1990-11-28
10519,40000,1992-12-05,1993-12-05
10520,40000,1996-09-05,1997-09-05
10522,40000,1986-12-12,1987-12-12
10523,40000,1989-12-23,1990-12-23
10526,40000,1988-02-27,1989-02-26
10526,39920,1989-02-26,1990-02-26
10534,40000,1998-01-26,1999-01-26
10542,40000,1992-02-07,1993-02-06
10547,40000,1988-02-14,1989-02-13
10550,40000,1985-02-03,1986-02-03
10560,40000,1996-09-03,1997-09-03
10565,40000,1996-08-05,1997-08-05
10566,40000,1990-08-23,1991-08-23
10572,40000,1988-02-16,1989-02-15
10572,39864,1989-02-15,1990-02-15
10574,40000,1999-11-15,2000-11-14
10580,40000,1991-03-02,1992-03-01
10580,39868,1992-03-01,1993-03-01
10594,40000,1988-04-02,1989-04-02
10595,40000,1989-11-24,1990-11-24
10601,40000,1999-07-24,2000-07-23
10606,40000,1987-05-02,1988-05-01
10608,40000,1986-05-25,1987-05-25
10611,40000,1989-09-16,1990-09-16
10611,39747,1990-09-16,1991-09-16
10611,39849,1992-09-15,1993-09-15
10612,40000,1991-09-02,1992-09-01
10612,39696,1992-09-01,1993-09-01
10612,39735,1993-09-01,1994-09-01
10613,40000,1997-10-13,1998-10-13
10614,40000,1990-03-03,1991-03-03
10617,40000,1991-10-30,1992-10-29
10622,40000,1989-05-15,1990-05-15
10624,40000,1990-05-07,1991-05-07
10626,40000,1996-12-03,1997-12-03
10627,40000,1995-03-13,1996-03-12
10630,40000,1997-01-13,1998-01-13
10631,40000,1994-10-18,1995-10-18
10635,40000,1991-09-22,1992-09-21
10642,40000,1998-10-05,1999-10-05
10645,40000,1988-03-01,1989-03-01
10648,40000,1988-02-16,1989-02-15
10649,40000,1998-06-23,1999-06-23
10653,40000,1987-04-30,1988-04-29
10659,40000,1995-06-01,1996-05-31
10665,40000,1988-01-23,1989-01-22
10667,40000,1999-07-28,2000-07-27
10667,39851,2000-07-27,2001-07-27
10669,40000,1996-11-17,1997-11-17
10669,39582,1997-11-17,1998-11-17
10673,40000,1994-07-29,1995-07-29
10674,40000,1999-03-17,2000-03-16
10674,39757,2000-03-16,2001-03-16
10679,40000,1990-05-13,1991-05-13
10680,40000,1992-11-21,1993-11-21
10682,40000,1990-11-09,1991-11-09
10683,40000,1997-06-23,1998-06-23
10687,40000,1990-03-13,1991-03-13
10689,40000,1988-08-05,1989-08-05
10693,40000,1986-01-08,1987-01-08
10697,40000,1999-08-29,2000-08-28
10698,40000,1994-12-08,1995-12-08
10699,40000,1985-11-17,1986-11-17
10704,40000,1995-02-17,1996-02-17
10709,40000,1986-02-02,1987-02-02
10712,40000,1994-08-18,1995-08-18
10719,40000,1995-09-05,1996-09-04
10719,39726,1996-09-04,1997-09-04
10721,40000,1999-07-15,2000-07-14
10723,40000,1997-07-14,1998-07-14
10728,40000,1989-12-09,1990-12-09
10729,40000,1986-04-20,1987-04-20
10732,40000,1994-12-21,1995-12-21
10735,40000,1985-10-29,1986-10-29
10736,40000,1991-09-26,1992-09-25
10739,40000,1985-03-30,1986-03-30
10745,40000,1988-01-23,1989-01-22
10746,40000,1990-08-31,1991-08-31
10750,40000,1998-11-06,1999-11-06
10750,39925,1999-11-06,2000-11-05
10752,40000,1993-05-28,1994-05-28
10755,40000,1995-04-01,1996-03-31
10756,40000,1997-10-07,1998-10-07
10759,40000,1991-12-04,1992-12-03
10760,40000,1997-08-22,1998-08-22
10766,40000,1999-09-18,2000-09-17
10772,40000,1990-02-22,1991-02-22
10773,40000,1997-02-09,1997-11-29
10777,40000,1990-03-17,1991-03-17
10777,39806,1991-03-17,1992-03-16
10777,39964,1992-03-16,1993-03-16
10781,40000,1991-02-04,1992-02-04
10781,39957,1992-02-04,1993-02-03
10781,39538,1993-02-03,1994-02-03
10782,40000,1997-07-06,1998-07-06
10783,40000,1994-05-15,1995-05-15
10786,40000,1997-06-06,1998-06-06
10789,40000,1998-01-26,1999-01-26
10791,40000,1988-07-30,1989-07-30
10793,40000,1990-09-18,1991-09-18
10800,40000,1993-05-20,1994-05-20
10802,40000,1985-08-24,1986-08-24
10802,39530,1986-08-24,1987-08-24
10804,40000,1997-06-09,1998-06-09
10808,40000,1987-03-07,1988-03-06
10808,39986,1988-03-06,1989-03-06
10811,40000,1997-07-08,1998-07-08
10815,40000,1994-04-19,1995-04-19
10818,40000,1998-04-09,1999-04-09
10821,40000,1988-10-06,1989-10-06
10823,40000,1999-08-19,2000-08-18
10829,40000,1993-07-21,1993-11-29
10833,40000,1998-12-23,1999-12-23
10835,40000,1995-08-22,1996-08-21
10840,40000,1993-06-04,1994-06-04
10840,39988,1994-06-04,1995-06-04
10841,40000,1992-01-22,1993-01-21
10843,40000,1990-04-26,1991-04-26
10844,40000,1997-04-25,1998-04-25
10846,40000,1995-01-17,1996-01-17
10847,40000,1986-07-25,1987-07-25
10854,40000,1998-07-13,1999-07-13
10855,40000,1993-03-29,1994-03-29
10860,40000,1998-01-22,1999-01-22
10861,40000,1989-06-10,1990-06-10
10867,40000,1997-03-23,1998-03-23
10869,40000,1997-09-04,1998-09-04
10869,39549,1998-09-04,1998-10-15
10871,40000,1999-06-16,2000-06-15
10872,40000,1990-09-06,1991-09-06
10875,40000,1988-05-19,1989-05-19
10881,40000,1997-02-18,1998-02-18
10882,40000,1999-04-29,2000-04-28
10883,40000,1996-12-28,1997-12-28
10886,40000,1995-03-26,1996-03-25
10891,40000,1995-10-06,1996-10-05
10892,40000,1990-04-11,1991-04-11
10896,40000,1997-11-27,1998-11-27
10905,40000,1985-02-28,1986-02-28
10905,39811,1986-02-28,1986-03-07
10907,40000,1988-12-25,1989-12-25
10908,40000,1986-04-05,1987-04-05
10910,40000,1989-09-02,1990-09-02
10920,40000,1992-02-24,1993-02-23
10925,40000,1991-06-11,1992-06-10
10928,40000,1991-04-07,1992-04-06
10929,40000,1991-04-15,1992-04-14
10932,40000,1994-09-09,1995-09-09
10933,40000,1993-08-02,1994-08-02
10936,40000,1990-05-09,1991-05-09
10936,39911,1991-05-09,1992-05-08
10937,40000,1988-06-16,1989-06-16
10942,40000,1996-01-21,1997-01-20
10950,40000,1996-06-08,1997-06-08
10951,40000,1989-07-06,1990-07-06
10952,40000,1986-07-22,1987-07-22
10954,40000,1995-12-14,1996-12-13
10956,40000,1995-12-02,1996-12-01
10967,40000,1993-08-01,1994-08-01
10969,40000,1994-05-12,1995-05-12
10970,40000,1995-11-14,1996-11-13
10972,40000,1987-06-06,1988-06-05
10975,40000,1992-03-30,1993-03-30
10976,40000,1998-10-31,1999-10-31
10977,40000,1987-08-10,1987-10-01
10985,40000,1999-02-11,1999-03-10
10990,40000,1990-08-06,1991-08-06
10993,40000,1992-05-29,1993-05-29
10995,40000,1997-07-19,1998-07-19
10995,39563,1998-07-19,1999-07-19
10995,39897,1999-07-19,2000-07-18
10997,40000,2000-01-04,2001-01-03
11003,40000,1987-05-24,1988-05-23
11007,40000,1996-10-15,1997-10-15
11017,40000,1996-07-08,1997-07-08
11025,40000,1998-09-07,1999-09-07
11027,40000,1986-05-07,1987-05-07
11032,40000,1994-06-06,1995-06-06
11034,40000,1993-01-01,1994-01-01
11037,40000,1988-01-28,1989-01-27
11039,40000,1993-07-10,1994-07-10
11039,39848,1994-07-10,1995-07-10
11042,40000,1993-06-21,1994-06-21
11043,40000,1993-06-25,1994-06-25
11045,40000,1985-08-09,1986-08-09
11047,40000,1995-08-14,1996-08-13
11051,40000,1991-03-27,1992-03-26
11052,40000,1988-11-11,1989-11-11
11054,40000,1986-07-18,1987-07-18
11054,39603,1987-07-18,1987-09-25
11058,40000,1985-06-07,1986-06-07
11063,40000,1996-01-09,1997-01-08
11063,39597,1997-01-08,1998-01-08
11065,40000,1985-11-14,1986-11-14
11067,40000,1992-02-23,1993-02-22
11068,40000,1989-06-29,1990-06-29
11070,40000,1985-07-24,1986-07-24
11071,40000,1992-05-23,1993-05-23
11072,40000,1994-08-04,1995-08-04
11088,40000,1993-04-09,1994-04-09
11093,40000,1992-03-27,1993-03-27
11094,40000,1992-07-25,1993-07-25
11095,40000,1997-02-14,1998-02-14
11098,40000,1997-01-08,1998-01-08
11100,40000,1986-10-13,1987-10-13
11101,40000,1999-05-30,2000-05-29
11104,40000,1993-09-20,1994-09-20
11108,40000,1992-06-12,1993-06-12
11109,40000,1985-03-29,1986-03-29
11112,40000,1995-04-28,1996-04-27
11116,40000,1992-10-23,1993-10-23
11119,40000,1994-06-21,1995-06-21
11121,40000,1992-10-31,1993-10-31
11126,40000,1992-02-25,1993-02-24
11127,40000,1996-06-14,1997-06-14
11132,40000,1994-08-30,1995-08-30
11133,40000,1994-03-06,1995-03-06
11135,40000,1991-10-22,1992-10-21
11137,40000,1995-03-16,1996-03-15
11140,40000,1998-05-06,1999-05-06
11141,40000,1993-02-12,1994-02-12
11142,40000,1993-11-04,1994-11-04
11147,40000,1997-12-04,1998-12-04
11151,40000,1987-06-16,1988-06-15
11153,40000,1997-06-17,1998-06-17
11154,40000,1997-05-18,1998-05-18
11158,40000,1996-04-20,1997-04-20
11160,40000,1987-05-07,1988-05-06
11171,40000,1992-10-04,1993-10-04
11175,40000,1996-11-29,1997-11-29
11177,40000,1999-09-11,2000-09-10
11180,40000,1986-06-11,1987-06-11
11181,40000,1997-11-03,1998-11-03
11183,40000,1990-12-28,1991-12-28
11184,40000,1985-04-27,1986-04-27
11185,40000,1995-01-26,1996-01-26
11186,40000,1994-12-10,1995-12-10
11192,40000,1998-04-07,1999-04-07
11199,40000,1989-05-02,1990-05-02
11202,40000,1996-02-26,1997-02-25
11204,40000,1985-09-18,1986-09-18
11209,40000,1999-04-25,2000-04-24
11210,40000,1989-08-25,1990-08-25
11213,40000,1999-02-04,2000-02-04
11217,40000,1990-03-11,1991-03-11
11218,40000,1994-04-06,1995-04-06
11219,40000,1991-01-08,1992-01-08
11220,40000,1995-10-27,1996-10-26
11224,40000,1988-05-01,1989-05-01
11225,40000,1996-10-17,1997-10-17
11227,40000,1985-03-08,1986-03-08
11231,40000,1988-04-07,1989-04-07
11235,40000,1998-11-09,1999-11-09
11238,40000,1988-09-24,1989-09-24
11244,40000,1985-06-08,1986-06-08
11246,40000,1996-05-25,1997-05-25
11247,40000,1993-10-11,1994-10-11
11252,40000,1992-07-31,1993-07-31
11253,40000,1992-05-22,1993-05-22
11255,40000,1997-01-07,1998-01-07
11258,40000,1991-03-28,1992-03-27
11260,40000,1996-05-16,1997-05-16
11265,40000,1990-02-27,1991-02-27
11266,40000,1997-05-12,1998-05-12
11268,40000,1987-10-25,1988-10-24
11270,40000,1989-09-04,1990-09-04
11273,40000,1987-10-07,1988-10-06
11274,40000,1999-12-13,2000-12-12
11276,40000,1988-03-12,1989-03-12
11278,40000,1986-04-22,1987-04-22
11279,40000,1991-02-05,1992-02-05
11281,40000,1988-02-03,1989-02-02
11284,40000,1985-04-25,1986-04-25
11289,40000,1989-02-22,1990-02-22
11292,40000,1989-02-11,1990-02-11
11296,40000,1989-09-26,1990-09-26
11297,40000,1991-02-16,1991-02-22
11299,40000,1989-11-24,1990-11-24
11301,40000,1989-05-23,1990-05-23
11309,40000,1999-01-26,2000-01-26
11314,40000,1990-04-10,1991-04-10
11316,40000,1997-07-18,1998-07-18
11316,39607,1998-07-18,1999-07-18
11317,40000,1995-09-08,1996-09-07
11319,40000,1998-11-01,1999-11-01
11323,40000,1995-02-13,1996-02-13
11326,40000,1990-02-19,1991-02-19
11327,40000,1990-05-02,1991-05-02
11331,40000,1987-03-03,1988-03-02
11332,40000,1989-09-27,1990-09-27
11333,40000,1988-02-14,1989-02-13
11335,40000,1991-10-08,1992-10-07
11339,40000,1989-12-19,1990-12-19
11342,40000,1998-02-03,1999-02-03
11348,40000,1991-10-02,1992-10-01
11352,40000,1985-11-25,1986-11-25
11354,40000,1987-06-23,1988-06-22
11364,40000,1999-07-08,2000-07-07
11366,40000,1993-02-09,1994-02-09
11368,40000,1992-01-06,1993-01-05
11370,40000,1989-08-22,1990-08-22
11378,40000,1986-01-03,1987-01-03
11379,40000,1994-06-24,1995-06-24
11383,40000,1999-11-26,2000-11-25
11384,40000,1994-06-03,1995-06-03
11385,40000,1999-08-08,2000-08-07
11390,40000,1990-12-19,1991-12-19
11393,40000,1985-04-30,1986-04-30
11393,39933,1986-04-30,1987-04-30
11394,40000,1988-12-20,1989-12-20
11397,40000,1992-12-12,1993-12-12
11400,40000,1990-04-23,1991-04-23
11400,39899,1991-04-23,1992-04-22
11409,40000,1997-12-28,1998-12-28
11415,40000,1996-12-07,1997-12-07
11418,40000,1991-12-30,1992-12-29
11420,40000,1992-01-31,1993-01-30
11424,40000,1991-02-14,1992-02-14
11425,40000,1990-08-27,1991-08-27
11428,40000,1994-07-31,1995-07-31
11432,39753,1988-10-18,1989-10-18
11433,40000,1994-09-27,1995-09-27
11437,40000,1991-08-12,1992-08-11
11440,40000,1994-03-03,1995-03-03
11440,39501,1995-03-03,1996-03-02
11442,40000,1987-06-22,1988-06-21
11444,40000,1992-01-01,1992-12-31
11445,40000,1997-06-11,1998-06-11
11446,40000,1991-04-06,1992-04-05
11448,40000,1995-08-26,1996-08-25
11457,40000,1991-02-10,1992-02-10
11459,40000,1986-05-03,1987-05-03
11463,40000,1994-01-26,1995-01-26
11464,40000,1992-05-30,1993-05-30
11464,39543,1993-05-30,1994-05-30
11465,40000,1985-07-14,1986-07-14
11471,40000,1997-04-05,1998-04-05
11473,40000,1993-07-02,1994-07-02
11477,40000,1996-07-28,1996-09-12
11490,40000,1997-10-24,1998-10-24
11491,40000,1988-11-08,1989-11-08
11491,39970,1989-11-08,1990-11-08
11491,39537,1990-11-08,1991-11-08
11496,40000,1992-07-09,1993-07-09
11498,40000,1994-01-19,1995-01-19
11499,40000,1989-03-08,1990-03-08
11502,40000,1999-12-04,2000-12-03
11509,40000,1987-11-12,1988-11-11
11509,39516,1988-11-11,1989-11-11
11510,40000,1998-12-29,1999-12-29
11514,40000,1990-05-14,1991-05-14
11518,40000,1994-09-22,1995-09-22
11532,40000,1991-12-01,1992-11-30
11533,40000,1991-08-20,1992-08-19
11534,40000,1991-09-21,1992-09-20
11538,40000,1987-03-24,1988-03-23
11541,40000,1992-06-15,1993-06-15
11542,40000,1985-06-20,1986-06-20
11543,40000,1987-04-01,1988-03-31
11545,40000,1986-09-19,1987-09-19
11545,39549,1987-09-19,1988-09-18
11548,40000,1986-05-16,1987-05-16
11550,40000,1997-12-16,1998-12-16
11555,40000,1986-10-14,1987-10-14
11558,40000,1996-09-18,1997-09-18
11565,40000,1988-02-03,1989-02-02
11565,39741,1989-02-02,1990-02-02
11565,39469,1990-02-02,1991-02-02
11565,39236,1991-02-02,1992-02-02
11571,40000,1986-02-15,1987-02-15
11572,40000,1985-08-23,1986-08-23
11574,40000,1999-02-23,2000-02-23
11577,40000,1992-09-23,1993-09-23
11577,39781,1993-09-23,1994-09-23
11578,40000,1985-11-22,1986-11-22
11580,40000,1985-07-06,1986-07-06
11587,40000,1989-04-24,1990-04-24
11588,40000,1994-12-24,1995-06-12
11590,40000,1997-06-26,1998-06-26
11591,40000,1986-01-07,1987-01-07
11591,39561,1987-01-07,1988-01-07
11593,40000,1999-03-09,2000-03-08
11601,40000,1991-03-07,1992-03-06
11605,40000,1994-10-08,1995-10-08
11606,40000,1994-09-27,1995-09-27
11612,40000,1990-12-10,1991-12-10
11613,40000,1998-05-30,1999-05-30
11620,40000,1985-10-16,1986-10-16
11626,40000,1987-07-10,1988-07-09
11629,40000,1994-12-16,1995-12-16
11631,40000,1992-04-14,1993-04-14
11631,39832,1993-04-14,1994-04-14
11633,40000,1994-09-28,1995-09-28
11635,40000,1989-10-13,1990-10-13
11642,40000,1998-04-18,1999-04-18
11647,40000,1988-05-11,1989-05-11
11647,39866,1989-05-11,1990-05-11
11647,39604,1990-05-11,1991-05-11
11648,40000,1992-02-15,1993-02-14
11649,40000,1992-12-11,1993-12-11
11650,40000,1996-12-05,1997-12-05
11654,40000,1996-01-16,1997-01-15
11655,40000,1991-09-23,1992-09-22
11657,40000,1989-03-19,1990-03-19
11665,40000,1994-12-03,1995-12-03
11673,40000,1989-06-10,1990-06-10
11681,40000,1988-08-27,1989-08-27
11683,40000,1996-01-21,1997-01-20
11685,40000,1999-07-01,2000-06-30
11685,39522,2000-06-30,2001-06-30
11686,40000,1995-04-21,1996-04-20
11687,40000,1992-03-22,1993-03-22
11694,40000,1989-03-31,1990-03-31
11699,40000,1994-01-20,1995-01-20
11703,40000,1989-07-23,1990-07-23
11712,40000,1999-06-11,2000-06-10
11714,40000,1997-09-26,1997-12-17
11716,40000,1989-05-09,1990-05-09
11721,40000,1990-11-30,1991-11-30
11722,40000,1997-12-18,1998-12-18
11724,40000,1995-09-26,1996-09-25
11731,40000,1996-12-18,1997-12-18
11732,40000,1996-12-22,1997-12-22
11735,40000,1988-07-14,1989-07-14
11744,40000,1989-08-23,1990-08-23
11749,40000,1997-07-02,1998-07-02
11750,40000,1995-11-19,1996-11-18
11750,39872,1996-11-18,1997-11-18
11751,40000,1988-11-03,1989-11-03
11757,40000,1987-04-07,1988-04-06
11759,40000,1988-04-30,1989-04-30
11760,40000,1985-09-15,1986-09-15
11763,40000,1997-04-18,1998-04-18
11765,40000,1991-07-04,1992-07-03
11766,40000,1987-10-27,1988-10-26
11769,40000,1993-10-22,1994-10-22
11770,40000,1992-11-29,1993-11-29
11771,40000,1988-11-22,1989-11-22
11773,40000,1990-05-29,1991-05-29
11774,40000,1998-11-26,1999-11-26
11774,39784,1999-11-26,2000-11-25
11775,40000,1988-11-15,1989-11-15
11777,40000,1994-06-21,1995-06-21
11778,40000,1992-12-28,1993-12-28
11779,40000,1996-11-21,1997-11-21
11782,40000,1991-02-01,1992-02-01
11783,40000,1994-07-14,1995-07-14
11786,40000,1996-02-28,1997-02-27
11787,40000,1990-01-10,1991-01-10
11791,40000,1994-11-15,1995-11-15
11792,40000,1987-05-29,1988-05-28
11793,40000,1996-06-06,1997-06-06
11793,39906,1997-06-06,1998-06-06
11794,40000,1992-09-04,1993-09-04
11795,40000,1992-03-24,1993-03-24
11795,39794,1993-03-24,1994-03-24
11800,40000,1990-08-08,1991-08-08
11803,40000,1997-09-25,1998-09-25
11805,40000,1985-09-01,1986-09-01
11807,40000,1992-07-11,1993-07-11
11814,40000,1996-06-09,1997-06-09
11829,40000,1999-10-11,2000-10-10
11832,40000,1996-02-04,1997-02-03
11835,40000,1992-01-15,1993-01-14
11836,40000,1989-07-28,1990-07-28
11842,40000,1991-12-11,1992-12-10
11845,40000,1991-07-23,1992-07-22
11854,40000,1992-06-30,1993-06-30
11856,40000,1989-05-23,1990-05-23
11865,40000,1998-02-07,1998-05-04
11879,40000,1987-12-10,1988-12-09
11886,40000,1994-10-02,1995-10-02
11887,40000,1998-03-31,1999-03-31
11891,40000,1995-02-04,1996-02-04
11896,40000,1990-07-04,1991-07-04
11902,40000,1996-09-22,1997-09-22
11907,40000,1992-02-27,1993-02-26
11911,40000,1990-06-05,1991-06-05
11913,40000,1985-08-17,1986-08-17
11914,40000,1988-06-02,1989-06-02
11917,40000,1997-03-08,1998-03-08
11918,40000,1987-03-19,1988-03-18
11919,40000,1990-10-28,1991-10-27
11922,40000,1985-11-01,1986-11-01
11922,39776,1986-11-01,1987-11-01
11922,39313,1987-11-01,1988-10-31
11923,40000,1994-09-28,1995-09-28
11928,40000,1995-10-19,1996-10-18
11929,40000,1989-04-12,1990-04-12
11938,40000,1994-07-15,1995-07-15
11938,39502,1995-07-15,1996-07-14
11949,40000,1985-03-11,1986-03-11
11951,40000,1989-10-14,1990-10-14
11955,40000,1995-04-25,1996-04-24
11960,40000,1988-07-28,1989-07-28
11960,39896,1989-07-28,1990-07-28
11962,40000,1988-10-30,1989-10-29
11963,40000,1989-09-17,1990-09-17
11967,40000,1997-08-23,1998-08-23
11967,39752,1998-08-23,1999-08-23
11970,40000,1993-02-28,1994-02-28
11971,40000,1987-11-11,1988-11-10
11973,40000,1989-04-13,1990-04-13
11975,40000,1991-03-24,1992-03-23
11977,40000,1991-06-14,1992-06-13
11982,40000,1985-12-17,1986-12-17
11983,40000,1986-10-11,1987-10-11
11985,40000,1985-12-18,1986-12-18
11987,40000,1988-10-17,1989-10-17
11987,39781,1989-10-17,1990-10-17
11987,39597,1990-10-17,1991-10-17
11989,40000,1989-01-07,1990-01-07
11992,40000,1991-09-22,1992-09-21
11992,39747,1992-09-21,1993-09-21
11997,40000,1999-02-21,1999-08-06
11999,40000,1996-07-21,1997-07-21
12007,40000,1989-05-17,1990-05-17
